"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell_academic","Nombre"
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",2761
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",2110
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",3348
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",6514
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",3826
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",1909
2021,6,"Gràcia",29,"el Coll","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",918
2021,6,"Gràcia",30,"la Salut","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",1551
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",5385
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",4168
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Batxillerat superior / BUP / COU / FPII / CFGM grau mitjà",3147
