Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Superfície (ha),superficie_km2
2019,8,Nou Barris,55,Ciutat Meridiana,37.7,0.37700000000000006
2019,8,Nou Barris,56,Vallbona,60.8,0.608
2019,9,Sant Andreu,57,la Trinitat Vella,80.8,0.8079999999999999
2019,9,Sant Andreu,58,Baró de Viver,23.0,0.23
2019,9,Sant Andreu,59,el Bon Pastor,186.5,1.865
2019,9,Sant Andreu,60,Sant Andreu,186.7,1.867
2019,9,Sant Andreu,61,la Sagrera,98.6,0.986
2019,9,Sant Andreu,62,el Congrés i els Indians,40.9,0.409
2019,9,Sant Andreu,63,Navas,42.4,0.424
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,74.1,0.741
2019,10,Sant Martí,65,el Clot,69.7,0.6970000000000001
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,112.2,1.122
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,92.5,0.925
2019,10,Sant Martí,68,el Poblenou,156.7,1.567
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,120.3,1.203
2019,10,Sant Martí,70,el Besòs i el Maresme,118.5,1.185
2019,10,Sant Martí,71,Provençals del Poblenou,108.6,1.086
2019,10,Sant Martí,72,Sant Martí de Provençals,73.4,0.7340000000000001
2019,10,Sant Martí,73,la Verneda i la Pau,112.7,1.127
2020,1,Ciutat Vella,1,el Raval,110.0,1.1
2020,1,Ciutat Vella,2,el Barri Gòtic,81.6,0.816
